timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,ema9_dist,ema21_dist,ema50_dist,ema200_dist,atr_normalized,bb_position,vwap_distance,atr14,mtf_alignment_score,bos_candles_ago,choch_detected,ob_distance_pct,fvg_present,liquidity_sweep_recent,cvd_slope,obi,ofi_5bar,whale_buy_ratio,absorption_strength,stacked_imbalance_direction,single_bar_divergence,iceberg_direction,cross_exchange_cvd_divergence,speed_of_tape_ratio,funding_rate,funding_roc,oi_change_1h,ls_ratio,liq_cluster_above_pct,liq_cluster_below_pct,max_pain_distance_pct,iv_skew,put_call_ratio,iv_rv_ratio,options_expiry_hours,exchange_netflow_score,sopr,lth_supply_change,whale_exchange_deposit_count,whale_net_flow_score,fng_score,dxy_bias_encoded,vix_level,us_10y_yield_trend,spx_btc_correlation,spx_intraday_direction,gold_btc_agreement,eth_btc_ratio_trend,btc_dominance_trend,session_encoded,vol_regime_encoded,regime,regime_encoded,direction,was_profitable
2025-02-01 00:00:00+00:00,102429.56,102575.06,102213.07,102494.94,538.12176,1738371599999999,55128773.924794,97185,325.69353,33367519.0469602,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.6052413305122618,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,sideways_range,0.0,LONG,0
2025-02-01 01:00:00+00:00,102494.94,102780.27,102460.33,102566.0,501.4383,1738375199999999,51469699.8217479,91532,280.67846,28812124.6563482,0,0.05542577462316765,0.0629838347990477,0.0665652685425295,0.0685928429726959,0.0,0.5,0.0,0.0,5.0,50.0,0.0,1.0,0.0,0.0,0.0,0.5597467524917821,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,sideways_range,0.0,LONG,0
2025-02-01 02:00:00+00:00,102566.0,102783.71,102400.0,102467.77,436.03518,1738378799999999,44729347.6922935,78596,227.06364,23291859.5962073,0,-0.03230830533348181,-0.029836432736580067,-0.02808873016836022,-0.026934987409693002,0.0,0.5,0.0,0.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.5207461471342748,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,sideways_range,0.0,SHORT,0
2025-02-01 03:00:00+00:00,102466.96,102518.42,102198.52,102249.19,334.74761,1738382399999999,34254693.6923444,68834,151.81542,15533210.1765849,0,-0.196919388799085,-0.2215200720307215,-0.23243355662532547,-0.23836876544872754,0.0,0.5,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.45352204307000127,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,sideways_range,0.0,SHORT,0
2025-02-01 04:00:00+00:00,102249.19,102503.03,102118.56,102316.16,322.29531,1738385999999999,32975747.2482337,70050,192.95634,19742719.4086607,0,-0.10506921291810181,-0.1417464520479039,-0.16028518604551073,-0.1710397698681303,0.0,0.5,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.5986942223887777,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,sideways_range,0.0,SHORT,0
2025-02-01 05:00:00+00:00,102316.15,102588.57,102235.29,102500.0,254.68497,1738389599999999,26088065.1821909,45714,125.58272,12864408.8764219,0,0.05958026614630731,0.034421705834442616,0.01859924011246199,0.00853729597970037,0.0,0.5,0.0,0.0,3.0,50.0,0.0,1.0,0.0,0.0,4.936829076633121e-05,0.4930904246135922,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,sideways_range,0.0,LONG,0
2025-02-01 06:00:00+00:00,102500.0,102577.12,102184.46,102402.91,231.97083,1738393199999999,23747524.6279711,60211,93.31998,9553532.546716,0,-0.02814000281829822,-0.05487037918932438,-0.07320684970637509,-0.08540799660209308,0.0,0.5,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,-0.001590098083185427,0.40229187437058356,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,1.0,sideways_range,0.0,SHORT,0
2025-02-01 07:00:00+00:00,102402.91,102494.69,102161.82,102166.49,243.2669,1738396799999999,24889591.7289608,52121,99.39987,10169303.4039253,0,-0.20768937584918776,-0.26036722912492066,-0.2928305855589637,-0.31385788490998984,0.0,0.5,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,-0.0029402415998708554,0.4086041709743496,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,1.0,sideways_range,0.0,SHORT,0
2025-02-01 08:00:00+00:00,102166.49,102276.99,101836.43,102016.85,649.65017,1738400399999999,66280489.2845599,104812,169.8927,17334778.5543338,0,-0.2837405353394189,-0.37039162835906225,-0.4226891471646398,-0.4564128441963775,0.0,0.5,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,-0.0022722918391822615,0.2615141315209692,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,1.0,sideways_range,0.0,SHORT,0
2025-02-01 09:00:00+00:00,102016.85,102016.85,101412.0,101675.99,638.00804,1738403999999999,64886753.9778299,138626,241.76043,24591890.1147985,0,-0.4959465111292692,-0.6426133838709466,-0.7295692281486803,-0.7852919355513818,0.0,0.5,0.0,0.0,0.0,50.0,0.0,1.0,1.0,0.0,-0.006256782897247104,0.3789300680286098,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,1.0,sideways_range,0.0,SHORT,0
